SP_800-171,names_of_SP_800_53Families
3.1.1,AC
3.1.10,AC
3.1.11,AC
3.1.12,AC
3.1.13,AC
3.1.14,AC
3.1.15,AC
3.1.16,AC
3.1.17,AC
3.1.18,AC
3.1.19,AC
3.1.2,AC
3.1.20,AC
3.1.21,AC
3.1.22,AC
3.1.3,AC
3.1.4,AC
3.1.5,AC
3.1.6,AC
3.1.7,AC
3.1.8,AC
3.1.9,AC
3.10.1,PE
3.10.2,PE
3.10.3,PE
3.10.4,PE
3.10.5,PE
3.10.6,PE
3.11.1,RA
3.11.2,RA
3.11.3,RA
3.12.1,"CA, PL"
3.12.2,"CA, PL"
3.12.3,"CA, PL"
3.12.4,"CA, PL"
3.13.1,"SC, SA"
3.13.10,SC
3.13.11,SC
3.13.12,SC
3.13.13,SC
3.13.14,SC
3.13.15,SC
3.13.16,SC
3.13.2,"SC, SA"
3.13.3,SC
3.13.4,SC
3.13.5,SC
3.13.6,SC
3.13.7,SC
3.13.8,SC
3.13.9,SC
3.14.1,SI
3.14.2,SI
3.14.3,SI
3.14.4,SI
3.14.5,SI
3.14.6,SI
3.14.7,SI
3.2.1,AT
3.2.2,AT
3.2.3,AT
3.3.1,AU
3.3.2,AU
3.3.3,AU
3.3.4,AU
3.3.5,AU
3.3.6,AU
3.3.7,AU
3.3.8,AU
3.3.9,AU
3.4.1,CM
3.4.2,CM
3.4.3,CM
3.4.4,CM
3.4.5,CM
3.4.6,CM
3.4.7,CM
3.4.8,CM
3.4.9,CM
3.5.1,IA
3.5.10,IA
3.5.11,IA
3.5.2,IA
3.5.3,IA
3.5.4,IA
3.5.5,IA
3.5.6,IA
3.5.7,IA
3.5.8,IA
3.5.9,IA
3.6.1,IR
3.6.2,IR
3.6.3,IR
3.7.1,MA
3.7.2,MA
3.7.3,MA
3.7.4,MA
3.7.5,MA
3.7.6,MA
3.8.1,MP
3.8.2,MP
3.8.3,MP
3.8.4,MP
3.8.5,MP
3.8.6,MP
3.8.7,MP
3.8.8,MP
3.8.9,CP
3.9.1,PS
3.9.2,PS
