SC_Family,SC_Family_Name,Control_Name,Main_Control,Control_Enhancement_Name,Control_Enhancement,Combined
AC,Access Control,ACCESS CONTROL POLICY AND PROCEDURES,AC-1,NA,0,AC-1-0
AC,Access Control,ACCOUNT MANAGEMENT,AC-2,NA,0,AC-2-0
AC,Access Control,ACCOUNT MANAGEMENT,AC-2,AUTOMATED SYSTEM ACCOUNT MANAGEMENT,1,AC-2-1
AC,Access Control,ACCOUNT MANAGEMENT,AC-2,REMOVAL OF TEMPORARY / EMERGENCY ACCOUNTS,2,AC-2-2
AC,Access Control,ACCOUNT MANAGEMENT,AC-2,DISABLE INACTIVE ACCOUNTS,3,AC-2-3
AC,Access Control,ACCOUNT MANAGEMENT,AC-2,AUTOMATED AUDIT ACTIONS,4,AC-2-4
AC,Access Control,ACCOUNT MANAGEMENT,AC-2,INACTIVITY LOGOUT,5,AC-2-5
AC,Access Control,ACCOUNT MANAGEMENT,AC-2,ROLE-BASED SCHEMES,7,AC-2-7
AC,Access Control,ACCOUNT MANAGEMENT,AC-2,RESTRICTIONS ON USE OF SHARED / GROUP ACCOUNTS,9,AC-2-9
AC,Access Control,ACCOUNT MANAGEMENT,AC-2,SHARED / GROUP ACCOUNT CREDENTIAL TERMINATION,10,AC-2-10
AC,Access Control,ACCOUNT MANAGEMENT,AC-2,USAGE CONDITIONS,11,AC-2-11
AC,Access Control,ACCOUNT MANAGEMENT,AC-2,ACCOUNT MONITORING / ATYPICAL USAGE,12,AC-2-12
AC,Access Control,ACCOUNT MANAGEMENT,AC-2,DISABLE ACCOUNTS FOR HIGH-RISK INDIVIDUALS,13,AC-2-13
AC,Access Control,ACCESS ENFORCEMENT,AC-3,NA,0,AC-3-0
AC,Access Control,INFORMATION FLOW ENFORCEMENT,AC-4,NA,0,AC-4-0
AC,Access Control,INFORMATION FLOW ENFORCEMENT,AC-4,SECURITY POLICY FILTERS,8,AC-4-8
AC,Access Control,INFORMATION FLOW ENFORCEMENT,AC-4,PHYSICAL / LOGICAL SEPARATION OF INFORMATION FLOWS,21,AC-4-21
AC,Access Control,SEPARATION OF DUTIES,AC-5,NA,0,AC-5-0
AC,Access Control,LEAST PRIVILEGE,AC-6,NA,0,AC-6-0
AC,Access Control,LEAST PRIVILEGE,AC-6,AUTHORIZE ACCESS TO SECURITY FUNCTIONS,1,AC-6-1
AC,Access Control,LEAST PRIVILEGE,AC-6,NON-PRIVILEGED ACCESS FOR NONSECURITY FUNCTIONS,2,AC-6-2
AC,Access Control,LEAST PRIVILEGE,AC-6,NETWORK ACCESS TO PRIVILEGED COMMANDS,3,AC-6-3
AC,Access Control,LEAST PRIVILEGE,AC-6,PRIVILEGED ACCOUNTS,5,AC-6-5
AC,Access Control,LEAST PRIVILEGE,AC-6,REVIEW OF USER PRIVILEGES,7,AC-6-7
AC,Access Control,LEAST PRIVILEGE,AC-6,PRIVILEGE LEVELS FOR CODE EXECUTION,8,AC-6-8
AC,Access Control,LEAST PRIVILEGE,AC-6,AUDITING USE OF PRIVILEGED FUNCTIONS,9,AC-6-9
AC,Access Control,LEAST PRIVILEGE,AC-6,PROHIBIT NON-PRIVILEGED USERS FROM EXECUTING PRIVILEGED FUNCTIONS,10,AC-6-10
AC,Access Control,UNSUCCESSFUL LOGON ATTEMPTS,AC-7,NA,0,AC-7-0
AC,Access Control,UNSUCCESSFUL LOGON ATTEMPTS,AC-7,PURGE / WIPE MOBILE DEVICE,2,AC-7-2
AC,Access Control,SYSTEM USE NOTIFICATION,AC-8,NA,0,AC-8-0
AC,Access Control,CONCURRENT SESSION CONTROL,AC-10,NA,0,AC-10-0
AC,Access Control,SESSION LOCK,AC-11,NA,0,AC-11-0
AC,Access Control,SESSION LOCK,AC-11,PATTERN-HIDING DISPLAYS,1,AC-11-1
AC,Access Control,SESSION TERMINATION,AC-12,NA,0,AC-12-0
AC,Access Control,SESSION TERMINATION,AC-12,USER-INITIATED LOGOUTS / MESSAGE DISPLAYS,1,AC-12-1
AC,Access Control,PERMITTED ACTIONS WITHOUT IDENTIFICATION OR AUTHENTICATION,AC-14,NA,0,AC-14-0
AC,Access Control,REMOTE ACCESS,AC-17,NA,0,AC-17-0
AC,Access Control,REMOTE ACCESS,AC-17,AUTOMATED MONITORING / CONTROL,1,AC-17-1
AC,Access Control,REMOTE ACCESS,AC-17,PROTECTION OF CONFIDENTIALITY / INTEGRITY USING ENCRYPTION,2,AC-17-2
AC,Access Control,REMOTE ACCESS,AC-17,MANAGED ACCESS CONTROL POINTS,3,AC-17-3
AC,Access Control,REMOTE ACCESS,AC-17,PRIVILEGED COMMANDS / ACCESS,4,AC-17-4
AC,Access Control,REMOTE ACCESS,AC-17,DISCONNECT / DISABLE ACCESS,9,AC-17-9
AC,Access Control,WIRELESS ACCESS,AC-18,NA,0,AC-18-0
AC,Access Control,WIRELESS ACCESS,AC-18,AUTHENTICATION AND ENCRYPTION,1,AC-18-1
AC,Access Control,WIRELESS ACCESS,AC-18,DISABLE WIRELESS NETWORKING,3,AC-18-3
AC,Access Control,WIRELESS ACCESS,AC-18,RESTRICT CONFIGURATIONS BY USERS,4,AC-18-4
AC,Access Control,WIRELESS ACCESS,AC-18,ANTENNAS / TRANSMISSION POWER LEVELS,5,AC-18-5
AC,Access Control,ACCESS CONTROL FOR MOBILE DEVICES,AC-19,NA,0,AC-19-0
AC,Access Control,ACCESS CONTROL FOR MOBILE DEVICES,AC-19,FULL DEVICE / CONTAINER- BASED ENCRYPTION,5,AC-19-5
AC,Access Control,USE OF EXTERNAL INFORMATION SYSTEMS,AC-20,NA,0,AC-20-0
AC,Access Control,USE OF EXTERNAL INFORMATION SYSTEMS,AC-20,LIMITS ON AUTHORIZED USE,1,AC-20-1
AC,Access Control,USE OF EXTERNAL INFORMATION SYSTEMS,AC-20,PORTABLE STORAGE DEVICES,2,AC-20-2
AC,Access Control,INFORMATION SHARING,AC-21,NA,0,AC-21-0
AC,Access Control,PUBLICLY ACCESSIBLE CONTENT,AC-22,NA,0,AC-22-0
AT,Awareness and Training,SECURITY AWARENESS AND TRAINING POLICY AND PROCEDURES,AT-1,NA,0,AT-1-0
AT,Awareness and Training,SECURITY AWARENESS TRAINING,AT-2,NA,0,AT-2-0
AT,Awareness and Training,SECURITY AWARENESS TRAINING,AT-2,INSIDER THREAT,2,AT-2-2
AT,Awareness and Training,ROLE-BASED SECURITY TRAINING,AT-3,NA,0,AT-3-0
AT,Awareness and Training,ROLE-BASED SECURITY TRAINING,AT-3,PRACTICAL EXERCISES,3,AT-3-3
AT,Awareness and Training,ROLE-BASED SECURITY TRAINING,AT-3,SUSPICIOUS COMMUNICATIONS AND ANOMALOUS SYSTEM BEHAVIOR,4,AT-3-4
AT,Awareness and Training,SECURITY TRAINING RECORDS,AT-4,NA,0,AT-4-0
AU,Audit and Accountability,AUDIT AND ACCOUNTABILITY POLICY AND PROCEDURES,AU-1,NA,0,AU-1-0
AU,Audit and Accountability,AUDIT EVENTS,AU-2,NA,0,AU-2-0
AU,Audit and Accountability,AUDIT EVENTS,AU-2,REVIEWS AND UPDATES,3,AU-2-3
AU,Audit and Accountability,CONTENT OF AUDIT RECORDS,AU-3,NA,0,AU-3-0
AU,Audit and Accountability,CONTENT OF AUDIT RECORDS,AU-3,ADDITIONAL AUDIT INFORMATION,1,AU-3-1
AU,Audit and Accountability,CONTENT OF AUDIT RECORDS,AU-3,CENTRALIZED MANAGEMENT OF PLANNED AUDIT RECORD CONTENT,2,AU-3-2
AU,Audit and Accountability,AUDIT STORAGE CAPACITY,AU-4,NA,0,AU-4-0
AU,Audit and Accountability,RESPONSE TO AUDIT PROCESSING FAILURES,AU-5,NA,0,AU-5-0
AU,Audit and Accountability,RESPONSE TO AUDIT PROCESSING FAILURES,AU-5,AUDIT STORAGE CAPACITY,1,AU-5-1
AU,Audit and Accountability,RESPONSE TO AUDIT PROCESSING FAILURES,AU-5,REAL-TIME ALERTS,2,AU-5-2
AU,Audit and Accountability,"AUDIT REVIEW, ANALYSIS, AND REPORTING",AU-6,NA,0,AU-6-0
AU,Audit and Accountability,"AUDIT REVIEW, ANALYSIS, AND REPORTING",AU-6,PROCESS INTEGRATION,1,AU-6-1
AU,Audit and Accountability,"AUDIT REVIEW, ANALYSIS, AND REPORTING",AU-6,CORRELATE AUDIT REPOSITORIES,3,AU-6-3
AU,Audit and Accountability,"AUDIT REVIEW, ANALYSIS, AND REPORTING",AU-6,CENTRAL REVIEW AND ANALYSIS,4,AU-6-4
AU,Audit and Accountability,"AUDIT REVIEW, ANALYSIS, AND REPORTING",AU-6,INTEGRATION / SCANNING AND MONITORING CAPABILITIES,5,AU-6-5
